timestamp,symbol,strategy,action,price,quantity,order_type,tp_price,sl_price
2025-11-21 16:46:45.905941,TZA,MA_Crossover_50_200,SELL,9.33,10.0,LIMIT,,
2025-11-21 16:46:47.873408,TZA,VWAP_Trend,BUY,9.52,10,BRACKET,9.9,9.33
2025-11-21 16:46:59.600875,XLF,MA_Crossover_50_200,BUY,51.73,10,BRACKET,53.8,50.7
2025-11-21 16:47:21.242110,SOXL,MA_Crossover_50_200,BUY,30.32,10,BRACKET,31.53,29.71
2025-11-21 16:47:37.218450,SOFI,MA_Crossover_50_200,BUY,24.54,10,BRACKET,25.52,24.05
2025-11-21 16:47:46.256382,BMNR,MA_Crossover_50_200,BUY,26.21,10,BRACKET,27.26,25.69
2025-11-21 16:48:12.198245,PLTR,MA_Crossover_50_200,BUY,156.82,10,BRACKET,163.09,153.68
2025-11-21 16:49:40.794022,ORCL,MA_Crossover_50_200,BUY,202.92,10,BRACKET,211.04,198.86
2025-11-21 16:51:32.682847,TZA,VWAP_Trend,BUY,9.44,10,BRACKET,9.82,9.25
2025-11-21 16:52:14.792675,BAC,MA_Crossover_50_200,BUY,51.55,10,BRACKET,53.61,50.52
2025-11-21 16:54:30.303230,PLTZ,VWAP_Trend,BUY,8.42,10,BRACKET,8.76,8.25
2025-11-21 16:55:17.947019,SQQQ,VWAP_Trend,BUY,80.44,10,BRACKET,83.66,78.83
2025-11-21 16:56:27.802499,BBAI,MA_Crossover_50_200,BUY,5.42,10,BRACKET,5.64,5.31
2025-11-21 16:56:35.708543,TZA,VWAP_Trend,BUY,9.42,10,BRACKET,9.8,9.23
2025-11-21 16:57:19.057800,SPDN,VWAP_Trend,BUY,9.96,10,BRACKET,10.36,9.76
2025-11-21 16:58:06.391713,BMNR,MA_Crossover_50_200,BUY,26.07,10,BRACKET,27.11,25.55
2025-11-21 16:58:37.367423,IONZ,VWAP_Trend,BUY,6.48,10,BRACKET,6.74,6.35
2025-11-21 17:01:30.878352,CIFR,MA_Crossover_50_200,BUY,14.3,10,BRACKET,14.87,14.01
2025-11-21 17:01:39.093285,TZA,VWAP_Trend,BUY,9.37,10,BRACKET,9.74,9.18
2025-11-21 17:02:20.290423,RGTI,MA_Crossover_50_200,BUY,22.55,10,BRACKET,23.45,22.1
2025-11-21 17:02:26.421607,QBTS,MA_Crossover_50_200,BUY,19.57,10,BRACKET,20.35,19.18
2025-11-21 17:02:48.035162,SOXL,MA_Crossover_50_200,BUY,30.06,10,BRACKET,31.26,29.46
2025-11-21 17:03:12.383706,BMNR,MA_Crossover_50_200,BUY,25.58,10,BRACKET,26.6,25.07
2025-11-21 17:03:26.556022,PLTR,MA_Crossover_50_200,BUY,156.69,10,BRACKET,162.96,153.56
2025-11-21 17:03:30.393855,ONDS,MA_Crossover_50_200,BUY,6.29,10,BRACKET,6.54,6.16
